commit	mean_macro_f1	st1_macro_f1	st2_macro_f1	st3_macro_f1	st3_family_macro_f1	model	status	description
f0c4b2f	0.637	0.729	0.643	0.540	0.642	roberta-base	discard	exp15: exp12 recipe with lora_dropout 0.1->0.2 (more regularization on the alpha=128 adapters, hoping to smooth the epoch-to-epoch wobble). Best at epoch 6 (mean_macro_f1=0.637), below exp12 (0.668) throughout -- more dropout hurts rather than helps at this alpha, st3 particularly weak (0.489-0.572 vs exp12 0.588-0.617). Reverting to dropout=0.1, trying dropout=0.05 next (less regularization) as the other direction
f0c4b2f	0.640	0.614	0.651	0.642	0.688	roberta-base	discard	exp16: exp12 recipe with lora_dropout 0.1->0.05 (less regularization, opposite direction from exp15). Best at epoch 8 (mean_macro_f1=0.640), still below exp12 (0.668). Interesting split: st3/st3_family hit new highs (0.642/0.688 at epoch10, best st3_family yet) but st1 collapses (0.605-0.655 vs exp12 0.68-0.73), dragging the mean down. Both dropout directions (0.05 here, 0.2 in exp15) underperform the default 0.1 -- dropout=0.1 confirmed optimal, reverting to it. Closing out dropout sweep
f0c4b2f	0.654	0.737	0.657	0.568	0.653	roberta-base	discard	exp17: exp12 recipe with st3-loss-weight 2.0->1.5 (re-checking now that alpha=128 changes training dynamics a lot vs when 2.0 was originally chosen at alpha=16). Best at epoch 7 (mean_macro_f1=0.654), below exp12 (0.668) -- st3 clearly weaker at the lower weight (0.568 vs exp12 0.610) confirming 2.0 is still better than 1.5 even at alpha=128. Reverting to st3-loss-weight=2.0, trying 2.5 next as the other direction
f0c4b2f	0.662	0.765	0.620	0.602	0.663	roberta-base	discard	exp18: exp12 recipe with st3-loss-weight 2.0->2.5 (other direction from exp17). Best at epoch 4 (mean_macro_f1=0.662), close to but still below exp12 (0.668). st2 notably weaker throughout (0.620-0.640 vs exp12 0.659-0.676) as the higher st3 weight pulls loss mass away from st2. Confirms st3-loss-weight=2.0 is the local optimum at alpha=128 too (1.5: 0.654 < 2.0: 0.668 > 2.5: 0.662) -- reverting to 2.0 and closing out this sweep. Standing best remains exp12 (r=64, alpha=128, dropout=0.1, dense target modules, st2w=1.0, st3w=2.0, pos-weight, lr=2e-4, mean=0.668)
f0c4b2f	0.624	0.594	0.657	0.615	0.639	roberta-base	discard	exp19: exp12 recipe with lr 2e-4->1e-4 (hypothesis: alpha=128 already amplifies LoRA updates 2x, so halving lr might stabilize training). Wrong direction: best mean_macro_f1=0.624 at epoch8, well below exp12 (0.668) throughout -- convergence is simply too slow within the fixed 10-epoch budget (st1 never breaks 0.63 vs exp12s 0.68-0.73). alpha and lr do not substitute for each other the way hypothesized; reverting to lr=2e-4
f0c4b2f	0.658	0.685	0.679	0.610	0.654	roberta-base	discard	exp20: exp12 recipe with st2-loss-weight 1.0->1.5 (st2 never explicitly upweighted before). Best at epoch 6 (mean_macro_f1=0.658), close to but still below exp12 (0.668) -- st2 does hit a new high (0.679 vs exp12 0.662) but st1/st3/st3_family all dip slightly, netting a small loss. Confirms st2-loss-weight=1.0 (i.e. leave it alone) remains optimal; reverting. Standing best remains exp12 (mean=0.668)
f0c4b2f	0.633	0.577	0.655	0.628	0.678	roberta-base	discard	exp21: exp12 recipe with warmup_ratio 0.06->0.12 (hypothesis: more warmup would smooth the epoch-to-epoch st1 wobble seen at alpha=128). Best at epoch 9 (mean_macro_f1=0.633), well below exp12 (0.668) throughout -- st3/st3_family actually hit strong late highs (0.638/0.678) but st1 stays subdued (0.577-0.623 vs exp12 0.68-0.73), never recovering. Longer warmup just eats into the fixed 10-epoch budget without an offsetting stability win; reverting to warmup_ratio=0.06
f0c4b2f	0.644	0.652	0.652	0.629	0.686	roberta-base	discard	exp22: exp12 recipe scaled up in capacity while holding the winning alpha/r=2.0 ratio fixed -- lora_r 64->128, lora_alpha 128->256. Best at epoch 9 (mean_macro_f1=0.644), below exp12 (0.668). st3/st3_family hit strong highs (0.629/0.686, best st3_family yet) but st1 is subdued and noisy (0.579-0.652, never reaching exp12s 0.68-0.73). More LoRA capacity at the same alpha/r ratio does not help and costs more compute (more trainable params); r=64 remains sufficient and preferred on the simplicity criterion. Reverting to r=64/alpha=128 (exp12) as standing default
f0c4b2f	0.638	0.652	0.636	0.626	0.674	roberta-base	discard	last_layer-exp01: first real attempt at the src/last_layer track (frozen-encoder + N unfrozen trailing blocks, no LoRA/PEFT) -- the only prior log for this script used epochs=200/lr=2e-5/no-pos-weight and only reached 0.384 by epoch10, so this reconfigures within our 10-epoch budget: num-unfrozen-layers=3, lr=5e-5 (2.5x), pos-weight, st3-loss-weight=2.0 (borrowing the winning LoRA recipes insights). Best at epoch 9 (mean_macro_f1=0.638), close to but below LoRA exp12 (0.668). Notably much smoother/more monotonic epoch-to-epoch than the alpha=128 LoRA runs (no big st1 wobble) -- a genuinely competitive, simpler alternative architecture. Still below standing LoRA best so discard for now, but worth 1-2 more last_layer experiments (more unfrozen layers / higher lr) given it was still climbing at epoch 9
f0c4b2f	0.625	0.633	0.646	0.596	0.675	roberta-base	discard	last_layer-exp02: last_layer-exp01 recipe with num-unfrozen-layers 3->6 (more capacity). Best at epoch 10 (mean_macro_f1=0.625), slightly worse than exp01 (0.638) and slower per-epoch (~87s vs ~70s, more unfrozen params). More unfrozen layers does not help within the 10-epoch budget -- 3 layers remains the better last_layer config. Confirms LoRA (exp12, 0.668) stays the stronger approach; last_layer is a viable simpler alternative topping out around 0.638 but not competitive with the tuned LoRA recipe. Deprioritizing further last_layer exploration, returning focus to the LoRA track
f0c4b2f	0.603	0.648	0.613	0.504	0.592	roberta-base	discard	exp23: exp12 recipe but attention-only target-modules (query,key,value, dropping dense/FFN) to check whether the higher alpha=128 scaling narrows the gap seen back in exp03 (attention-only at alpha=16 got 0.588 vs exp02s 0.613 with dense). It does not: best mean_macro_f1=0.603 at epoch6, still far below exp12 (0.668) and barely above exp03s old alpha=16 result. FFN/dense LoRA adapters remain essential regardless of alpha -- closing this question, keeping dense in target-modules as a fixed part of the recipe going forward
f0c4b2f	0.626	0.605	0.667	0.607	0.658	roberta-base	discard	exp24: exp12 recipe with batch_size 16->32 (half as many optimizer steps per epoch). Best at epoch 10 (mean_macro_f1=0.626, still climbing), below exp12 (0.668) throughout and noticeably slower wall-clock per epoch too (~2min vs ~75s, larger batches). Fewer steps per epoch hurts within the fixed 10-epoch budget even though per-step gradient estimates are less noisy; reverting to batch_size=16. Closing out the batch size probe -- standing best remains exp12 (r=64, alpha=128, dropout=0.1, dense target modules, st2w=1.0, st3w=2.0, pos-weight, lr=2e-4, batch=16, mean=0.668)
e849c71	0.655	0.720	0.667	0.579	0.654	roberta-base	discard	exp25: exp12 recipe plus new --head-lr flag (code change, committed at e849c71) giving the randomly-initialized st1/st2/st3 heads their own LR separate from the LoRA adapters -- head-lr=5e-4 (2.5x the base lr=2e-4), on the theory that from-scratch heads might want to move faster than LoRA nudges to a pretrained encoder. Best at epoch 7 (mean_macro_f1=0.655), close to but below exp12 (0.668). st1 hits a new high (0.720) but st3 dips (0.579) relative to exp12, netting a small loss. Single shared LR (previous behavior) remains at least as good; not adopting head-lr for now, though the flag stays available for future retries at other values
