2026-08-14 06:27:44,881 | INFO | MainThread | logging to runs/baseline_decision_tree/run_20260814_062744_mlp_pytorch_scratch.log
2026-08-14 06:28:06,070 | INFO | MainThread | epoch 230: train_loss=0.1210 dev_st3_macro_f1=0.396
2026-08-14 06:28:06,096 | INFO | MainThread | epoch 240: train_loss=0.1174 dev_st3_macro_f1=0.396
2026-08-14 06:28:06,124 | INFO | MainThread | epoch 250: train_loss=0.1138 dev_st3_macro_f1=0.394
2026-08-14 06:28:06,167 | INFO | MainThread | epoch 260: train_loss=0.1105 dev_st3_macro_f1=0.397
2026-08-14 06:28:06,193 | INFO | MainThread | epoch 270: train_loss=0.1095 dev_st3_macro_f1=0.394
2026-08-14 06:28:06,220 | INFO | MainThread | epoch 280: train_loss=0.0997 dev_st3_macro_f1=0.387
2026-08-14 06:28:06,247 | INFO | MainThread | epoch 290: train_loss=0.0968 dev_st3_macro_f1=0.390
2026-08-14 06:28:06,273 | INFO | MainThread | epoch 300: train_loss=0.0964 dev_st3_macro_f1=0.378
2026-08-14 06:28:06,274 | INFO | MainThread | selected epoch=70 by dev_st3_macro_f1=0.438
2026-08-14 06:28:06,274 | INFO | MainThread | tuned per-label thresholds: {'age_restricted_or_prohibited_product': 0.2, 'direct_exhortation': 0.25, 'hfss_food_marketing': 0.95, 'inadequate_disclosure': 0.55, 'insufficient_context': 0.35, 'misleading_claim': 0.35, 'no_flag': 0.45, 'undisclosed_advertising': 0.45}
2026-08-14 06:28:06,314 | INFO | MainThread | === train (fit) ===
2026-08-14 06:28:06,314 | INFO | MainThread | st3_macro_f1=0.718 st3_family_macro_f1=0.803
2026-08-14 06:28:06,315 | INFO | MainThread | === dev (model + threshold selection) ===
2026-08-14 06:28:06,315 | INFO | MainThread | st3_macro_f1=0.438 st3_family_macro_f1=0.536
2026-08-14 06:28:06,315 | INFO | MainThread |   age_restricted_or_prohibited_product: 0.212
2026-08-14 06:28:06,315 | INFO | MainThread |   direct_exhortation: 0.358
2026-08-14 06:28:06,315 | INFO | MainThread |   hfss_food_marketing: 0.333
2026-08-14 06:28:06,315 | INFO | MainThread |   inadequate_disclosure: 0.421
2026-08-14 06:28:06,315 | INFO | MainThread |   insufficient_context: 0.353
2026-08-14 06:28:06,315 | INFO | MainThread |   misleading_claim: 0.708
2026-08-14 06:28:06,315 | INFO | MainThread |   no_flag: 0.509
2026-08-14 06:28:06,316 | INFO | MainThread |   undisclosed_advertising: 0.607
2026-08-14 06:28:06,316 | INFO | MainThread | === test-holdout (final check) ===
2026-08-14 06:28:06,316 | INFO | MainThread | st3_macro_f1=0.413 st3_family_macro_f1=0.572
2026-08-14 06:28:06,316 | INFO | MainThread |   age_restricted_or_prohibited_product: 0.328
2026-08-14 06:28:06,316 | INFO | MainThread |   direct_exhortation: 0.290
2026-08-14 06:28:06,316 | INFO | MainThread |   hfss_food_marketing: 0.286
2026-08-14 06:28:06,317 | INFO | MainThread |   inadequate_disclosure: 0.426
2026-08-14 06:28:06,317 | INFO | MainThread |   insufficient_context: 0.125
2026-08-14 06:28:06,317 | INFO | MainThread |   misleading_claim: 0.710
2026-08-14 06:28:06,317 | INFO | MainThread |   no_flag: 0.560
2026-08-14 06:28:06,317 | INFO | MainThread |   undisclosed_advertising: 0.579
2026-08-14 06:28:06,321 | INFO | MainThread | wrote test-holdout predictions to runs/submission_mlp_20260814_062744.jsonl
2026-08-14 06:28:06,330 | INFO | MainThread | appended results row to runs/baseline_decision_tree/results.csv
