2026-08-02 00:44:26,380 | INFO | MainThread | logging to runs/run_20260802_004426_agentic_rag_full_gpt-5.4.log
2026-08-02 00:45:00,099 | INFO | ThreadPoolExecutor-1_0 | 201[{"fileId":"807de33d-e476-48aa-8060-b68a6580f923","chunkText":"This document is a Supreme Court of British Columbia judgment regarding a case between the Private Career Training Institutions Agency and Vancouver Career College (Burnaby) Inc. It addresses allegations of misleading advertising practices by VCC Inc. through Keyword Advertising, ultimately ruling in favor of VCC Inc. The judgment is useful for understanding legal interpretations of advertising regulations in the context of educational institutions and can serve as a reference for similar cases involving deceptive marketing practices.","chunkIndex":0,"score":0.848662},{"fileId":"f0c6982b-2015-4725-b1c7-4676749d14b4","chunkText":"This document is a Federal Court of Appeal decision regarding the appeal by 2251723 Ontario Inc. (VMedia) against the Canadian Radio-television and Telecommunications Commission's (CRTC) denial to add QVC to the List of authorized non-Canadian programming services in Canada. The court analyzed the CRTC's interpretation of 'broadcasting undertaking' and 'programming undertaking' under the Broadcasting Act, ultimately finding the CRTC's reasoning inadequate and allowing the appeal for reconsideration. This document is useful for legal professionals and stakeholders in the broadcasting industry seeking to understand regulatory interpretations and the implications of foreign programming services in Canada.","chunkIndex":0,"score":0.846657},{"fileId":"7a330e16-785b-44de-ab36-be13aa8dd09d","chunkText":"This document is a Federal Court of Appeal decision regarding the case \"Commissioner of Competition v. Premier Career Management Group Corp. (2009)\". It addresses allegations of misleading representations made by Premier Career Management in their career consulting services, ultimately ruling that such representations were indeed made \"to the public\" under the Competition Act, contrary to the Tribunal's findings. This document is useful for legal professionals and businesses seeking to understand the implications of misleading advertising practices and the interpretation of consumer protection laws in Canada.","chunkIndex":0,"score":0.8424055},{"fileId":"7d6bc07e-0930-4b95-a348-ff11a3eac8e7","chunkText":"This document is a court order from the Federal Court of Canada regarding a proposed class action initiated by Voltage Pictures, LLC and others against an unidentified respondent for alleged copyright infringement through illegal file sharing. It grants the Samuelson-Glushko Canadian Internet Policy and Public Interest Clinic (CIPPIC) the status of intervener in the disclosure motion, allowing them to address specific public interest issues related to privacy and the disclosure of personal information. This document is useful for legal professionals involved in intellectual property cases, particularly those addressing privacy rights and the implications of class actions.","chunkIndex":0,"score":0.84133196},{"fileId":"035bddbe-f13c-479e-96d6-ff64ec73fa68","chunkText":"This document is a Federal Court of Appeal decision regarding the motion by the Canadian Radio-television and Telecommunications Commission (CRTC) to intervene in an appeal involving Vidéotron Ltée and Netstar Communications Inc. It outlines the court's decision to grant the CRTC limited intervener status, specifically to address statutory jurisdiction and procedural matters related to the Commission's previous decisions. This document is useful for legal professionals or parties involved in similar regulatory disputes, as it clarifies the parameters of intervention and the court's stance on jurisdictional issues.","chunkIndex":0,"score":0.8372651}]
2026-08-02 00:45:00,099 | INFO | ThreadPoolExecutor-1_0 | ======================
2026-08-02 00:45:00,100 | INFO | ThreadPoolExecutor-1_0 | Received response is a valid JSON
2026-08-02 00:45:00,953 | INFO | ThreadPoolExecutor-1_0 | [Agentic] 10 total item(s) accumulated
2026-08-02 00:45:02,173 | INFO | MainThread | wrote 1 retrieval trace(s) to runs/rag/20260802_004426.json
2026-08-02 00:45:02,173 | INFO | MainThread | wrote 1 predictions to runs/submission_agentic_rag_20260802_004426.jsonl
2026-08-02 00:45:02,174 | INFO | MainThread | copied predictions to submission_agentic_rag.jsonl (canonical submission file)
2026-08-02 00:45:02,174 | INFO | MainThread | wrote 1 misclassified instance(s) to runs/submission_agentic_rag_error_20260802_004426.jsonl
2026-08-02 00:45:02,174 | INFO | MainThread | === Distinct gold labels observed, by tier ===
2026-08-02 00:45:02,174 | INFO | MainThread | [ST1 - commercial type]     ['digital_content_or_services']
2026-08-02 00:45:02,174 | INFO | MainThread | [ST2 - product category]    ['other']
2026-08-02 00:45:02,174 | INFO | MainThread | [ST3 - compliance flags]    ['misleading_claim']
2026-08-02 00:45:02,174 | INFO | MainThread | Evaluation:
2026-08-02 00:45:02,174 | INFO | MainThread |   st1_macro_f1: 1.000
2026-08-02 00:45:02,174 | INFO | MainThread |   st2_macro_f1: 0.000
2026-08-02 00:45:02,174 | INFO | MainThread |   st3_macro_f1: 0.000
2026-08-02 00:45:02,174 | INFO | MainThread |   st3_family_macro_f1: 0.000
2026-08-02 00:45:02,174 | INFO | MainThread |   mean_macro_f1: 0.333
