2026-08-15 16:46:14,629 | INFO | MainThread | logging to runs/run_20260815_164614_lora_train_generative_Qwen_Qwen3-4B.log
2026-08-15 16:49:41,010 | INFO | MainThread | epoch 3: mean train loss = 1.6034
2026-08-15 16:49:41,010 | INFO | MainThread | epoch 3: train input length (tokens, unpadded) -- min=1769 mean=2559 max=4018 n=30
2026-08-15 16:51:31,391 | INFO | MainThread | generate_predictions: input length (tokens, unpadded) -- min=1770 mean=2585 max=4000 n=30
2026-08-15 16:51:31,440 | INFO | MainThread | epoch 3 dev metrics: st1_macro_f1=0.182, st2_macro_f1=0.304, st3_macro_f1=0.016, st3_family_macro_f1=0.125, mean_macro_f1=0.167
2026-08-15 16:51:31,440 | INFO | MainThread | epoch 3 dev st1 per-label F1: digital_content_or_services=0.000, none=0.000, other=0.000, physical_goods=0.625, physical_services=0.286
2026-08-15 16:51:31,440 | INFO | MainThread | epoch 3 dev st2 per-label F1: apps=0.417, creator_community=0.154, education=0.000, fashion=0.000, financial=0.000, food=1.000, gambling=0.500, gambling_adjacent=0.000, hardware_electronics=0.667, health=0.667, other=0.250, toys=0.000
2026-08-15 16:51:31,440 | INFO | MainThread | epoch 3 dev st3 per-label F1: age_restricted_or_prohibited_product=0.000, direct_exhortation=0.000, hfss_food_marketing=0.000, inadequate_disclosure=0.000, insufficient_context=0.125, misleading_claim=0.000, no_flag=0.000, undisclosed_advertising=0.000
2026-08-15 16:51:31,440 | INFO | MainThread | epoch 3 dev st3_family per-label F1: content=0.000, disclosure=0.000, housekeeping=0.500, product=0.000
2026-08-15 16:51:31,503 | INFO | MainThread | epoch 3: new best mean(st1,st2)_macro_f1=0.243, saved to runs/lora-qwen3-4b-smoke-bf16-full-retry/best
2026-08-15 16:51:31,542 | INFO | MainThread | saved final epoch adapter to runs/lora-qwen3-4b-smoke-bf16-full-retry/last (best dev mean(st1,st2)_macro_f1=0.243)
2026-08-15 16:51:31,542 | INFO | MainThread | best dev metrics: st1_macro_f1=0.182, st2_macro_f1=0.304, st3_macro_f1=0.016, st3_family_macro_f1=0.125, mean_macro_f1=0.167
2026-08-15 16:51:31,542 | INFO | MainThread | reloading best-dev checkpoint from runs/lora-qwen3-4b-smoke-bf16-full-retry/best for the test-holdout pass (generalization check, not used for model selection)
2026-08-15 16:52:42,260 | INFO | MainThread | generate_predictions: input length (tokens, unpadded) -- min=2208 mean=3090 max=3974 n=10
2026-08-15 16:52:42,318 | INFO | MainThread | test holdout metrics: st1_macro_f1=0.231, st2_macro_f1=0.270, st3_macro_f1=0.000, st3_family_macro_f1=0.061, mean_macro_f1=0.167
2026-08-15 16:52:42,318 | INFO | MainThread | st1 per-label F1: digital_content_or_services=0.000, physical_goods=0.462
2026-08-15 16:52:42,318 | INFO | MainThread | st2 per-label F1: apps=0.800, creator_community=0.500, education=0.000, fashion=0.500, financial=0.500, food=0.000, gambling=0.000, gambling_adjacent=0.000, hardware_electronics=0.000, health=0.667, other=0.000
2026-08-15 16:52:42,318 | INFO | MainThread | st3 per-label F1: direct_exhortation=0.000, inadequate_disclosure=0.000, insufficient_context=0.000, misleading_claim=0.000, no_flag=0.000, undisclosed_advertising=0.000
2026-08-15 16:52:42,318 | INFO | MainThread | st3_family per-label F1: content=0.000, disclosure=0.000, housekeeping=0.182
